SEQ,NRPATRIMONIO1,DESCRICAO,CODCLASSIFICACAO,NOME_SETOR,LOCALIZAÇÃO,VALOR,DATACADASTRO,DESC_ESTADO,NRNOTAFISCAL,NOMEUNIDADE,ESTADO
828,87363,ARGAMASSEIRA PAVITEST,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,8990,07/02/2013,Bom,319/2012,GOI,B
829,87363,ARGAMASSEIRA PAVITEST,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,8990,07/02/2013,Bom,319/2012,GOI,B
830,87364,CAPEADOR PARA CORPOS DE PROVA 10X20,34,COORDENAÇÃO ACADÊMICA,,"293,99",07/02/2013,Bom,319/2012,GOI,B
831,87365,CAPEADOR PARA CORPOS DE PROVA 10X20,34,COORDENAÇÃO ACADÊMICA,,"293,99",07/02/2013,Bom,319/2012,GOI,B
832,87366,CAPEADOR PARA CORPOS DE PROVA 15X20,34,COORDENAÇÃO ACADÊMICA,,"349,9",07/02/2013,Bom,319/2012,GOI,B
833,87367,CAPEADOR PARA CORPOS DE PROVA 15X20,34,COORDENAÇÃO ACADÊMICA,,"349,9",07/02/2013,Bom,319/2012,GOI,B
834,87368,CAPEADOR PARA CORPOS DE PROVA 5X10,34,COORDENAÇÃO ACADÊMICA,,"130,99",07/02/2013,Bom,319/2012,GOI,B
835,87369,CAPEADOR PARA CORPOS DE PROVA 5X10,34,COORDENAÇÃO ACADÊMICA,,"130,99",07/02/2013,Bom,319/2012,GOI,B
836,87370,CONJUNTO PARA ABATIMENTO DO TRONCO DE CONE SLUMP TEST,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,"244,62",07/02/2013,Bom,319/2012,GOI,B
837,87371,CONJUNTO PARA DETERMINAÇÃO DE LIMITE DE CONTRAÇÃO,34,COORDENAÇÃO ACADÊMICA,,303,07/02/2013,Bom,319/2012,GOI,B
838,87372,CONJUNTO PARA DETERMINAÇÃO DE LIMITE DE PLASTICIDADE,34,COORDENAÇÃO ACADÊMICA,,"182,17",07/02/2013,Bom,319/2012,GOI,B
839,87374,EXTRATOR DE AMOSTRAR PAVITEST,34,COORDENAÇÃO ACADÊMICA,,"1248,33",07/02/2013,Bom,319/2012,GOI,B
840,87375,MEDIDOR DE UMIDADE TIPO SPEEDY,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,1143,07/02/2013,Bom,319/2012,GOI,B
841,87376,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
842,87377,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
843,87378,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
844,87379,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
845,87380,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
846,87381,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
847,87382,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
848,87383,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
849,87384,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
850,87385,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
851,87386,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
852,87387,MOLDE PARA ARGAMASSA 5X10 CM,34,COORDENAÇÃO ACADÊMICA,,"69,99",07/02/2013,Bom,319/2012,GOI,B
853,87388,RECIPIENTE PARA MASSA UNITÁRIA DO AGREGADO MIÚDO,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,"136,9",07/02/2013,Bom,319/2012,GOI,B
854,87389,RECIPIENTE PARA MASSA UNITÁRIA DO AGREGADO GRAÚDO,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,"144,9",07/02/2013,Bom,319/2012,GOI,B
855,87391,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
856,87392,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
857,87393,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
858,87394,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
859,87395,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
860,87396,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
861,87397,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
862,87398,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
863,87399,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
864,87400,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
865,87401,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
866,87402,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
867,87403,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
868,87404,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
869,87405,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
870,87406,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
871,87407,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
872,87408,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
873,87409,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
874,87410,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
875,87411,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
876,87412,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
877,87413,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
878,87414,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
879,87415,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
880,87416,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
881,87417,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
882,87418,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
883,87419,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
884,87420,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
885,87421,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
886,87422,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
887,87423,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
888,87424,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",24/01/2013,Bom,791/2013,GOI,B
889,87425,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
890,87426,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
891,87427,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
892,87428,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
893,87429,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
894,87430,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
895,87431,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
896,87432,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
897,87433,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
898,87434,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
899,87435,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
900,87436,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
901,87437,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
902,87438,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
903,87439,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
904,87440,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
905,87441,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
906,87442,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
907,87443,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
908,87444,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
909,87445,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
910,87446,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
911,87447,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
912,87448,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
913,87449,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
914,87450,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
915,87451,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
916,87452,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
917,87453,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
918,87454,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
919,87455,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
920,87456,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
921,87457,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
922,87458,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
923,87459,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
924,87460,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
925,87461,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
926,87462,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
927,87463,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
928,87464,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
929,87465,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
930,87466,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
931,87467,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
932,87468,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
933,87469,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
934,87470,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
935,87471,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
936,87472,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
937,87473,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
938,87474,"BIBLIOCANTO AÇO SAE 1010 1,20MMX10CMX20CM EXLXA",42,BIBLIOTECA,,"5,75",31/01/2013,Bom,791/2013,GOI,B
939,87475,CARRO PARA TRANSPORTES DE LIVROS PAULANA,42,BIBLIOTECA,,"476,33",31/01/2013,Bom,791/2012,GOI,B
940,87476,AGITADOR ELETROMECÂNICO DE PENEIRAS CIRCULARES SOLOTEST,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,2060,14/02/2013,Bom,364/2012,GOI,B
941,87477,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
942,87478,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
943,87479,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
944,87480,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
945,87481,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
946,87482,AGULHA LE CHATELIER SOLOTEST,34,COORDENAÇÃO ACADÊMICA,,68,14/02/2013,Bom,364/2012,GOI,B
947,87483,CONJUNTO PARA DETERMINAÇÃO DE EQUIVALENTE DE AREIA DNER-ME 054,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,1000,14/02/2013,Bom,364/2012,GOI,B
948,87484,DISPOSITIVO PARA DETERMINAR RETENÇÃO DE AGUÁ NBR 13277,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,900,14/02/2013,Bom,364/2012,GOI,B
949,87485,DISPOSITIVO PARA DETERMINAR RETENÇÃO DE AGUÁ NBR 13277,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,900,14/02/2013,Bom,364/2012,GOI,B
950,87486,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
951,87487,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
952,87488,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
953,87489,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
954,87490,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
955,87491,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
956,87491,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
957,87492,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
958,87493,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
959,87493,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
960,87494,FORMA CILÍNDRICA METÁLICA PARA CONCRETO 15X30 CM,34,COORDENAÇÃO ACADÊMICA,,60,14/02/2013,Bom,364/2012,GOI,B
961,87495,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
962,87496,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
963,87496,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
964,87497,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
965,87498,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
966,87499,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
967,87500,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
968,87501,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
969,87502,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
970,87502,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
971,87503,FORMA CILÍNDRICA METÁLICA CONCRETO 10X20 CM.,34,COORDENAÇÃO ACADÊMICA,,86,14/02/2013,Bom,364/2012,GOI,B
972,87504,FORMA TRONCO CÔNICA 125X80X65 MM,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,180,14/02/2013,Bom,364/2012,GOI,B
973,87505,FORMA TRONCO CÔNICA 125X80X65 MM,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,180,14/02/2013,Bom,364/2012,GOI,B
974,87506,SOQUETE PARA ARGAMASSA,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,70,14/02/2013,Bom,364/2012,GOI,B
975,87507,SOQUETE PARA ARGAMASSA,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,70,14/02/2013,Bom,364/2012,GOI,B
976,87508,DEIONIZADOR DE ÁGUA LUCADEMA,4,COORDENAÇÃO ACADÊMICA,S605 LAB QUIMICA,420,14/02/2013,Bom,2585/2013,GOI,B
977,87509,FORNO MUFLA MICROPROCESSADO FORNOS MAGNUS,28,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,LABORATÓRIO DE QUÍMICA,"2199,98",14/02/2013,Bom,767/2013,GOI,B
978,87587,LIVROS EM GERAL NF 762 EUNICE MARIA,18,BIBLIOTECA,,1386,05/03/2013,Bom,762/2012,GOI,B
979,87588,MEDIDOR DE PH DE BANCADA COMPLETO,34,COORDENAÇÃO ACADÊMICA,S604a ALMOXARIFADO LABS,477,06/03/2013,Bom,5146/2013,GOI,B
980,87589,MEDIDOR DE PH DE BANCADA COMPLETO,34,COORDENAÇÃO ACADÊMICA,S604a ALMOXARIFADO LABS,477,06/03/2013,Bom,5146/2013,GOI,B
981,87590,KIT SONORIZAÇÃO SAYOGA INSTRUMENTAL,26,RECURSOS DIDÁTICOS,,7200,06/03/2013,Bom,244/2013,GOI,B
982,87591,PRENSA HIDRÁULICA ELÉTRICA DIGITAL - 100T,34,COORDENAÇÃO CURSO TECNICO INTEGRADO EDIFICAÇÕES,,24600,07/03/2013,Bom,7677/2012,GOI,B
983,87592,LIVROS EM GERAL NF 1207 EUNICE MARIA GONÇALVES,18,BIBLIOTECA,,"4314,43",07/03/2013,Bom,1207/2012,GOI,B
984,87593,LIVROS EM GERAL NF 269.556/281970 A PÁGINA DISTRIBUIDORA,18,BIBLIOTECA,,"2623,97",07/03/2013,Bom,269.556/2012,GOI,B
985,87596,APARELHO DE AR CONDICIONADO 18.000 BTUS LG,12,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,COORD ACADÊMICA - SUBSTITUÍDO,"1554,9",08/03/2013,Bom,009/2013,GOI,B
986,87598,APARELHO DE AR CONDICIONADO 36.000 BTUS ELETROLUX,12,COORDENAÇÃO ACADÊMICA,LAB INFO - SUBSTITUÍDO,3291,08/03/2013,Bom,009/2013,GOI,B
987,87601,LIVROS EM GERAL NF 1164 EUNICE MARIA,18,BIBLIOTECA,,"72,92",28/03/2013,Bom,1164/2012,GOI,B
